Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZPZ,Primary industries,2014Q1,10907,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q2,10763,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q3,10713,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q4,10705,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q1,10644,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q2,10674,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q3,10648,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q4,10622,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q1,10523,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q2,10466,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q3,10475,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q4,10467,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q1,10415,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q2,10433,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q3,10559,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q4,10605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q1,10492,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q2,10523,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q3,10676,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q4,10609,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q1,10814,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q2,10758,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q3,10429,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q4,10525,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q1,10719,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q2,10564,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q3,10421,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q4,10499,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q1,10338,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q2,10411,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q3,10462,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q4,10353,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q1,10222,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q2,10260,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q3,10354,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q4,10222,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2014Q1,10520,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2014Q2,10394,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2014Q3,10352,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2014Q4,10347,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2015Q1,10277,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2015Q2,10255,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2015Q3,10234,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2015Q4,10222,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2016Q1,10140,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2016Q2,10121,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2016Q3,10111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2016Q4,10131,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2017Q1,10086,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2017Q2,10103,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2017Q3,10234,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2017Q4,10252,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2018Q1,10154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2018Q2,10193,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2018Q3,10369,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2018Q4,10314,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2019Q1,10500,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2019Q2,10429,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2019Q3,10096,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2019Q4,10208,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2020Q1,10420,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2020Q2,10307,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2020Q3,10157,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2020Q4,10240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2021Q1,10080,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2021Q2,10147,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2021Q3,10206,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2021Q4,10073,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2022Q1,9932,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2022Q2,9950,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2022Q3,10035,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,Agriculture, forestry, fishing",2022Q4,9912,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q1,376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q2,369,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q3,382,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q4,347,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q1,358,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q2,409,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q3,428,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q4,396,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q1,382,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q2,343,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q3,376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q4,329,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q1,326,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q2,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q3,333,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q4,353,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q1,343,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q2,324,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q3,311,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q4,293,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q1,320,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q2,320,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
